Name,Sex,Event,Equipment,Age,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Date,Federation,MeetCountry,MeetState,MeetName
Ana Silva,F,SBD,Raw,28,Open,62.5,63,120,70,150,340,1,2024-05-10,CBLB,Brazil,SP,"Campeonato Paulista, Etapa 1"
Bruno Costa #2,M,SBD,Raw,31,Open,82.1,83,200,130,240,570,2,2023-08-20,CBLB,Brazil,,Nacional
Carlos Lima,M,SBD,Wraps,35,Open,90,93,250,150,280,680,1,2024-01-15,WRPF,Brazil,,Copa WRPF
Diego Ruiz,M,SBD,Raw,24,Open,82,83,180,120,220,520,1,2024-03-03,IPF,Argentina,,Sudamericano
Eva Rocha,F,B,Raw,22,Open,57,57,,80,,,1,2024-09-01,CBLB,Brazil,,Supino Estadual
Fábio Nunes,M,SBD,Raw,40,Masters 1,105,105,-260,160,300,,DQ,2024-06-06,CBLB,Brazil,,Regional Sul
Gabriel Souza,M,SBD,Raw,27,Open,74,74,170,110,200,480,1,2012-04-04,CBLB,Brazil,,Antigo
Helena Dias,F,SBD,Single-ply,30,Open,52,52,150,90,170,410,1,2024-02-02,CBLB,Brazil,,Equipado
Igor Melo,Mx,SBD,Raw,26,Open,80,83,150,100,180,430,1,2024-02-02,CBLB,Brazil,,Aberto
João Pedro,M,SBD,Raw,26,Open,0,83,150,100,180,430,1,2024-02-02,CBLB,Brazil,,Sem pesagem
Karen Luz,F,SD,Raw,29,Open,69,69,130,,160,,1,2024-07-07,CBLB,Brazil,,"Push, Pull & Squat"
Lucas Reis,M,SBD,Raw,33,Open,120.5,120+,300,200,320,820,1,2025-01-01,GPC,Brazil,,Copa GPC
Marta Paz,F,SBD,Raw,45,Masters 2,84.3,84+,180,100,200,480,,2024-11-11,CBLB,Brazil,,Nacional
Nina Alves,F,B,Raw,20,Junior,63,63,,,,,1,2024-05-05,CBLB,Brazil,,Sem resultado
Otávio Cruz,M,SBD,Raw,30,Open,83.0,83,210,140,250,600,1,2016-01-01,CBLB,Brazil,,Limite da janela
Paula Reis,F,SBD,Raw,23,Open,57,57,100,60,120,280,1,2024-04-04,CBLB,Brazil,,"Meet ""Aspas"" Teste"
